addressable_patients,peak_penetration,annual_price_usd,approval_prob,ramp_years,exclusivity_years,operating_margin,discount_rate,peak_revenue_musd,npv_if_approved_musd,rnpv_musd,synergy_musd
49611,0.2770144608980677,82100.82080570035,0.885532404606507,6,13,0.6450871113173352,0.08,1128.3086591538477,4382.880326965388,3881.1825550402136,320.82087517510246
48322,0.2791299277463313,86414.7830860985,0.9171689554028158,6,13,0.692562918241198,0.11306940005537992,1165.572650229013,3880.157481004556,3558.7599836513696,318.1307025435208
47404,0.31204860826438685,79373.33155868926,0.883471798863912,6,12,0.6193050008130804,0.10785898057671785,1174.1182777803092,3375.1256755587183,2981.8283519776373,228.94882416577778
53390,0.35273466198667186,95404.60351664614,0.8548618972739886,5,13,0.5691923769158957,0.08227729162971202,1796.7075395147133,6628.0326584374925,5666.052573585834,513.729502093091
43901,0.26509469000734476,85877.69735865491,0.9076842485776099,5,13,0.5511368016305,0.12584404242219885,999.4379421984128,2681.706558770476,2434.1428027032275,218.30181905008493
43592,0.2897984916686523,91747.8128787638,0.8352598087930503,5,12,0.6743073175973936,0.09594143441273206,1159.0405644544394,4511.920025838319,3768.625458071249,483.1527084729785
52940,0.39296072161104834,85171.11195967215,0.8675558900589246,4,11,0.6100814231267863,0.09469237237001234,1771.843651555707,5949.992263240419,5161.950833779257,97.56587297762945
53479,0.22627583103999982,86233.70794216545,0.8631673532725932,6,11,0.7588795140004105,0.08,1043.5145454801716,4075.7152430286355,3518.024339017791,231.7897425988763
47613,0.2276135156848279,74099.5957041087,0.8928016717196234,5,12,0.6779835201183451,0.09733583299069556,803.0441665814973,3007.01548417271,2684.6684511561884,225.6419657692283
56390,0.30733761378875935,91568.53415801212,0.8420577972479937,5,12,0.7018061294571023,0.11743148966407312,1586.9530253970856,5666.260446038147,4771.318789824316,654.8397656499864
46532,0.28985494879822227,90399.67644534397,0.8496444708551202,5,11,0.6502992367388274,0.11798632791255181,1219.2683912108062,3641.2417926554003,3093.760956176247,279.2106141334017
41582,0.26253739734572545,80611.75311501676,0.8707038617168684,4,12,0.6426377759276245,0.12977026479719234,880.0248093075261,3005.0235405681715,2616.4856013228036,368.41813439038026
45247,0.2786973616935723,82656.52817296544,0.8865396693710469,4,12,0.6619455429115993,0.11399844950566508,1042.3169653981686,3777.407274505029,3348.821396219476,254.88801308039945
45831,0.3353985737396939,74650.43179593736,0.9100835923523546,5,11,0.78,0.10626245281511881,1147.5004616851195,4475.1131029152875,4072.727008884237,405.74197688986663
47998,0.40412991357135236,94991.32938858277,0.8978154024684016,6,13,0.6649463406178594,0.13213435243530244,1842.5874336446475,4912.808398041532,4410.7950491378015,155.2218291071142
51586,0.36798768592704095,87025.90471538411,0.8925744656873932,5,11,0.567015280491228,0.09450932927405277,1652.0138602050554,4841.730525482035,4321.605036784469,266.7528129523059
38121,0.33035268771372667,82306.47783486107,0.8781795074895056,4,13,0.5826657701056233,0.0996676703862546,1036.5163245283204,3936.3038403587866,3456.7813678553284,412.7707560301991
48204,0.3822150496589729,89081.29905674436,0.8908483877343707,4,12,0.7206983305893737,0.08,1641.2600663287521,7782.936694619666,6933.416606240602,351.216494475739
49968,0.2564999401376819,80606.95065262618,0.8728007281189918,6,13,0.6069391278063667,0.12148165277980785,1033.1222791574382,3057.7721475587173,2668.8257568112217,444.3476655116332
50406,0.25077496155486795,93377.9767446652,0.8678070541262154,4,12,0.6056465121278147,0.11780962066601783,1180.3501709731936,3614.493570722564,3136.6830177668935,45.078372337030345
54043,0.24777203072565934,81987.12379662806,0.910263823647836,6,12,0.687412506901491,0.1371480778217083,1097.8357794428418,2904.9271238706597,2644.2500711928174,199.71599915140231
55508,0.3594384291913512,77145.56302245328,0.906788947123426,5,11,0.4945989350821832,0.13155647274850077,1539.1857721888862,3528.506738312446,3199.6109101522566,544.7905180903241
44366,0.25409875609189314,78021.61186568985,0.8868697661424876,4,11,0.6346979942665234,0.09739585236943304,879.5645802232248,3092.210840596429,2742.38830506302,116.80352603105048
51827,0.3450432637624845,76050.36786392819,0.8277853054360619,6,12,0.6373929686922275,0.10219162565476779,1359.9750557666896,4253.676774334329,3521.131127868625,358.7945259304027
44357,0.34539022433046707,84722.43677465968,0.8586488454286401,6,12,0.6018605454754216,0.10493155756514555,1297.9879051259372,3750.097501223411,3220.0168896703103,303.6231869236456
38752,0.2545018156275715,77272.33188528255,0.8776916866693764,4,12,0.5876152784405243,0.08370057550512464,762.0948464475271,3055.9546538310797,2682.1859945061306,307.44275407591095
39552,0.3170108258114419,84012.53453958099,0.8907119883731504,4,14,0.633445548908625,0.10518888601172692,1053.3837865532928,4031.2917641537483,3590.7199029616904,117.630165722434
47065,0.4160713260753712,85350.56417047288,0.8762348568071753,5,12,0.7062052803529731,0.09447450034488256,1671.3686284944363,6714.3051063949715,5883.3081734616835,571.7316015832164
56065,0.2380341615385785,83324.21890294731,0.8311685771253124,4,11,0.6105365625047537,0.084674130667231,1111.9938033033793,4156.384019341131,3454.6557913421548,257.56430420791975
47505,0.24408362421721497,96605.54326140028,0.9196290698074331,5,11,0.5812806674481508,0.08099083486458548,1120.159877294581,3824.6984387480743,3517.303867519833,364.05078800279557
43230,0.2577029300000766,75855.78097435547,0.9084627822515533,6,13,0.5407860075787615,0.1324718814878153,845.0711507383684,2361.802347442359,2145.609531685735,591.1704727003035
52913,0.23362241443820975,73444.58103747951,0.858530476152089,4,12,0.5830528493139373,0.1265427520211665,907.8971463866762,3010.425870664956,2584.542356162552,496.8924789046025
47288,0.23984715472590276,74070.60688794633,0.8349006343937437,4,11,0.6355633585399816,0.10953522435497463,840.1008424135924,3394.987244474223,2834.477004170197,739.7105628093161
58877,0.32088256879916843,89804.1349965405,0.9092436200912332,5,12,0.5756228738342388,0.09526129082499435,1696.633870534399,5273.697030822611,4795.075379569538,217.13004722622387
43288,0.27197701872960156,92597.25053548592,0.8864637304186886,5,12,0.6399388407187755,0.09377270195165169,1090.1790235108183,3973.114826715062,3522.0221906716356,325.871938960557
50760,0.31585877327122636,91844.12329319178,0.8708804037770976,4,11,0.6448227679971245,0.12513132756458872,1472.5360325857655,4639.680685562815,4040.606988839745,308.4314748897157
45259,0.36013932950345634,87260.79322086375,0.8910044670077588,6,11,0.5161476137740659,0.12666508187972716,1422.3113055952606,2939.440487724235,2619.0546050657586,290.71043530132147
54005,0.29330802042473364,85211.33103088432,0.888920729064173,5,12,0.5177970536386908,0.10416678451655072,1349.7559742450815,3717.13629262709,3304.2395032729696,299.64004239869195
57264,0.3120622550740103,82162.98584350811,0.8765259564243592,6,11,0.5539248857091733,0.1123150991238494,1468.2470500130582,3460.188453746295,3032.9449938284956,254.64682422179698
53779,0.3095491598809666,87768.93227614458,0.8395993791357242,5,11,0.5898057508600552,0.12067969189511416,1461.11085485123,3852.24700298118,3234.344191980453,255.3862167620137
37820,0.3199108924439783,85525.55965432982,0.8569168033789238,5,12,0.7378835079749834,0.10552895327957593,1034.776307939078,3787.296058004232,3245.3976314745855,85.85468082874719
51327,0.33187406976412437,76065.60502975526,0.8985979820398889,6,12,0.6308904186576386,0.09337152309498468,1295.7091514497283,4576.825282852898,4112.725963320759,678.2112366038784
46817,0.3966292773754069,80307.88241603637,0.8867293654970623,5,12,0.6710841255427297,0.09018096231305188,1491.236496701667,5907.75058742,5238.575929897833,551.7641912587429
46468,0.3175396500738781,76944.59538799053,0.863807934758096,6,12,0.637619961416568,0.09766845264816701,1135.3507803812804,3538.1342955573846,3056.2684787422154,184.87354384617106
