peak_sales_musd,approved,time_to_peak,exclusivity_years,operating_margin,discount_rate,npv_musd
731.496569413601,1,4,11,0.6264061237941065,0.10165728281297018,2367.153941994821
812.8018894716787,0,5,11,0.7218377336274777,0.09947450034488256,0.0
1002.3583768968093,0,5,10,0.6080139078909612,0.10100911031833967,0.0
854.3703408701384,1,5,10,0.667087798788858,0.1381425625882383,2107.385481571783
816.9056184367964,1,4,10,0.5839883396489679,0.1374718814878153,1933.2121725272652
1013.0054851000737,0,4,10,0.6463194442104047,0.10576668216519183,0.0
954.0111295781634,0,4,12,0.5643432735454561,0.1303080856124812,0.0
1041.8224248884749,1,4,10,0.5273867699342134,0.09648059272002998,2719.2206787340974
806.8650262925537,1,5,10,0.7319429993186977,0.11337853029208406,2471.095979629638
1001.1624925900335,1,4,10,0.6177862409916026,0.13033955577962286,2592.1059911819734
797.3011707681472,1,4,12,0.606394811729822,0.09993464133273956,2675.033265366658
982.9522537227185,1,5,12,0.6666157005989796,0.09877270195165169,3401.4365134969994
867.695493697769,1,6,11,0.6584986451453655,0.12729867779642684,2195.328667823622
877.7513145094688,0,4,10,0.6822687974792574,0.13052947336298523,0.0
917.5417141129585,1,5,11,0.7029212243424794,0.08361890770365328,3422.5753006035275
837.888169023427,1,6,11,0.6600067209586712,0.07743701257804385,2830.8538863840004
943.9902693207202,1,6,11,0.5648308780322423,0.10916678451655072,2266.414934703412
853.3276922246934,0,4,11,0.7061338842399011,0.08838206359256003,0.0
797.0139642688318,1,4,12,0.6683299123048424,0.09590180320508968,3015.9846787520632
777.9422041232799,1,6,12,0.6733889773103855,0.11022596572368493,2362.7738209907548
888.3817871693412,1,4,10,0.5859854435882372,0.09047595011387,2656.615556070891
703.5016012252424,1,4,10,0.6893016977856041,0.10569289853864922,2291.2196958576287
757.6445811314622,1,6,10,0.6479186982856538,0.0964982651288913,2065.9700300724603
912.5854345930107,1,6,12,0.6589064212880532,0.11053453189775683,2707.098445938018
871.6722699135624,0,5,11,0.6596045190316325,0.13395669083781217,0.0
922.681238743724,1,6,12,0.6788278481527883,0.11466875231815304,2751.2065746825765
865.6150863174262,1,4,11,0.7261893705096905,0.07314879414704781,3801.235466208049
797.7238820473036,1,4,11,0.7094799890642375,0.11335004238044533,2748.4488344770984
739.6012811520296,1,4,10,0.6325108119521574,0.07833950718274732,2542.874664495946
828.7718861989699,1,5,12,0.7281406783104055,0.11833460359450301,2796.1624965401847
876.9439642588084,1,6,11,0.6062190873307621,0.08925800403553495,2535.736562921597
900.4146539692985,1,6,10,0.67482890794824,0.10708622917648948,2415.081486802988
676.0402127884303,1,5,12,0.7094400503826103,0.1093803735412884,2339.4977305416405
738.9375410533311,1,6,10,0.6524260813972413,0.09753574825383443,2017.5341377164093
842.1866655860118,0,6,11,0.6695126634491572,0.10872636751256251,0.0
976.9941125924161,1,4,11,0.6750458593812191,0.09533667132802173,3525.224587168111
1010.8641417658044,1,5,12,0.6284603806038692,0.11741849903213727,2959.0102989885163
1039.9944376055548,1,4,10,0.7423490165723802,0.11398932904031649,3501.191913260282
